work,how near dists are?,T,trT,teT,F,med_T,med_trT,med_teT,med_F,U_test_p,median_test_p
sample_nut,,15.843535826284379,47.43882827745433,76.6222510457077,0.6191260062192052,25.77796617466904,410.12654293044693,135.30576668900196,3.0311091165324533,1.08583671841764e-23,2.119504928831394e-17
sample_nut_x2,,22.89410732745066,77.78111889966692,108.28607504194044,0.7182929002601803,34.31473884628295,576.1505227835935,171.00689817738692,3.3691653899595777,1.462437426351907e-45,7.788470010454981e-34
